id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit,latitude,longitude
321,India,Delhi,Delhi,"Alipur, Delhi - DPCC",23-11-2022 13:00,PM2.5,60,336,242,NA,28.815329,77.15301
322,India,Delhi,Delhi,"Alipur, Delhi - DPCC",23-11-2022 13:00,PM10,105,277,182,NA,28.815329,77.15301
323,India,Delhi,Delhi,"Alipur, Delhi - DPCC",23-11-2022 13:00,NO2,12,89,46,NA,28.815329,77.15301
324,India,Delhi,Delhi,"Alipur, Delhi - DPCC",23-11-2022 13:00,NH3,4,6,5,NA,28.815329,77.15301
325,India,Delhi,Delhi,"Alipur, Delhi - DPCC",23-11-2022 13:00,SO2,11,26,17,NA,28.815329,77.15301
326,India,Delhi,Delhi,"Alipur, Delhi - DPCC",23-11-2022 13:00,CO,20,64,38,NA,28.815329,77.15301
327,India,Delhi,Delhi,"Alipur, Delhi - DPCC",23-11-2022 13:00,OZONE,7,260,248,NA,28.815329,77.15301
328,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",23-11-2022 13:00,PM2.5,65,348,262,NA,28.646835,77.316032
329,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",23-11-2022 13:00,PM10,147,443,302,NA,28.646835,77.316032
330,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",23-11-2022 13:00,NO2,81,160,109,NA,28.646835,77.316032
331,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",23-11-2022 13:00,NH3,2,8,4,NA,28.646835,77.316032
332,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",23-11-2022 13:00,SO2,25,44,35,NA,28.646835,77.316032
333,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",23-11-2022 13:00,CO,5,120,86,NA,28.646835,77.316032
334,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",23-11-2022 13:00,OZONE,7,12,10,NA,28.646835,77.316032
335,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",23-11-2022 13:00,PM2.5,67,325,228,NA,28.695381,77.181665
336,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",23-11-2022 13:00,PM10,127,274,180,NA,28.695381,77.181665
337,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",23-11-2022 13:00,NO2,16,74,43,NA,28.695381,77.181665
338,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",23-11-2022 13:00,NH3,8,9,8,NA,28.695381,77.181665
339,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",23-11-2022 13:00,SO2,3,11,7,NA,28.695381,77.181665
340,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",23-11-2022 13:00,CO,26,84,69,NA,28.695381,77.181665
341,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",23-11-2022 13:00,OZONE,1,28,9,NA,28.695381,77.181665
342,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",23-11-2022 13:00,PM2.5,NA,NA,NA,NA,28.4706914,77.1099364
343,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",23-11-2022 13:00,PM10,NA,NA,NA,NA,28.4706914,77.1099364
344,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",23-11-2022 13:00,NO2,NA,NA,NA,NA,28.4706914,77.1099364
345,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",23-11-2022 13:00,CO,NA,NA,NA,NA,28.4706914,77.1099364
346,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",23-11-2022 13:00,OZONE,NA,NA,NA,NA,28.4706914,77.1099364
347,India,Delhi,Delhi,"Bawana, Delhi - DPCC",23-11-2022 13:00,PM2.5,87,390,263,NA,28.7762,77.051074
348,India,Delhi,Delhi,"Bawana, Delhi - DPCC",23-11-2022 13:00,PM10,144,478,225,NA,28.7762,77.051074
349,India,Delhi,Delhi,"Bawana, Delhi - DPCC",23-11-2022 13:00,NO2,8,80,29,NA,28.7762,77.051074
350,India,Delhi,Delhi,"Bawana, Delhi - DPCC",23-11-2022 13:00,NH3,8,12,9,NA,28.7762,77.051074
351,India,Delhi,Delhi,"Bawana, Delhi - DPCC",23-11-2022 13:00,SO2,2,7,4,NA,28.7762,77.051074
